n_day,cumul_low_bound,cumul_upper_bound
233,14924.0476293104,18538.635337301574
234,15004.436082375534,18572.306587301577
235,15084.82453544067,18605.977837301576
236,15165.212988505806,18639.649087301575
237,15245.60144157094,18673.32033730158
238,15325.989894636074,18706.991587301578
239,15406.37834770121,18740.662837301577
240,15486.766800766345,18774.334087301577
241,15567.155253831479,18808.005337301576
242,15647.543706896613,18841.67658730158
243,15727.932159961749,18875.34783730158
244,15808.320613026885,18909.019087301578
245,15888.709066092018,18942.690337301578
246,15969.097519157152,18976.361587301577
247,16049.485972222288,19010.032837301576
248,16129.874425287424,19043.704087301576
249,16210.262878352558,19077.375337301575
250,16290.651331417692,19111.046587301575
251,16371.039784482828,19144.717837301574
252,16451.428237547963,19178.389087301573
